"Азотоба́ктер","Род бактерий, живущих в почве и способных в результате процесса азотфиксации переводить…","   Основные параметры:<br/>   <br/>   - Домен: Бактерии<br/>   - Тип: Протеобактерии<br/>   - Класс: Гамма-протеобактерии<br/>   - Порядок: Pseudomonadales<br/>   - Семейство: Pseudomonadaceae<br/>   - Род: Азотобактер<br/>   - Виды: A. armeniacus, A. beijerinckii, A. chroococcum, A. nigricans, A. salinestris, A. vinelandii<br/>   - Среда обитания: Нейтральные и щелочные почвы, вода, ассоциации с некоторыми растениями<br/>   - Морфология: Клетки палочковидные (бацилла) или сферические (кокки), подвижные за счет жгутиков<br/>   - Размножение: Простое деление клетки, не образуют спор<br/>   - Физиологические свойства: Аэробный микроорганизм, способный к фиксации азота<br/>   - Подробное описание:<br/>   <br/>   Азотобактер - это род грамотрицательных бактерий, которые играют важную роль в круговороте азота в природе. Они способны переводить газообразный азот в растворимую форму, доступную для усваивания растениями. Это делает их ценными для производства азотных биоудобрений и в качестве продуцентов некоторых биополимеров.<br/>   <br/>   Клетки Азотобактера относительно крупные, обычно овальные, но могут иметь разную форму. Они могут располагаться одиночно, парами, неправильными скоплениями или цепочками. В свежих культурах клетки подвижны благодаря многочисленным жгутикам. В более поздних культурах клетки теряют подвижность и могут продуцировать толстый слой слизи, формирующий капсулу клетки.<br/>   <br/>   Азотобактер использует процесс азотфиксации, в ходе которого специализированные ферменты, нитрогеназы, катализируют превращение атмосферного азота в аммоний. Этот процесс требует значительного количества энергии, которая обеспечивается за счет метаболизма углеводов и других органических соединений.<br/>   <br/>   Бактерии рода Азотобактер также обладают высокой устойчивостью к различным неблагоприятным условиям, включая высокие концентрации солей и токсичных веществ, что делает их привлекательными для использования в сельском хозяйстве и биотехнологии. Они могут образовывать цисты - особые покоящиеся формы, которые помогают им переживать неблагоприятные условия.<br/>   <br/>   Первый представитель рода, Azotobacter chroococcum, был открыт и описан в 1901 году голландским микробиологом и ботаником Мартином Бейеринком. С тех пор было идентифицировано несколько видов, каждый из которых имеет свои уникальные свойства и области применения.<br/>","mini_azot_bacter","show_azot_bacter"
"Актиномицеты","Отдел грамположительных бактерий с высоким содержанием гуанина и цитозина, который включает...","Научная классификация<br/>   Домен:        Бактерии<br/>   Тип:        Актиномицеты<br/>   Международное научное название<br/>   Actinobacteria Thrash and Coates 2012<br/>   Места обитания и образ жизни<br/>   Актинобактерии населяют почвы, а также пресные и морские воды. Они играют важную роль в разложении органических веществ, таких, как целлюлоза и хитин, и таким образом принимают участие в круговороте органических веществ и в углеродном цикле. Это пополняет запас питательных веществ в почве, что важно для образования перегноя. Другие актинобактерии обитают на растениях и животных, включая некоторых патогенных, таких, как микобактерии, стрептомицеты.<br/>   <br/>   Характерные особенности<br/>   Некоторые виды формируют ветвящиеся нити, похожие на мицелий. Из-за этого они и получили название «актиномицеты» и первоначально были отнесены к грибам. Большее количество видов — аэробные, однако несколько, например, Actinomyces israelii, могут существовать в анаэробных условиях.<br/>   <br/>   Отдельные виды актинобактерий отвечают за специфический запах, исходящий из почвы после дождя. Это происходит в основном на территориях с тёплым климатом<br/>   Использование человеком<br/>   Актинобактерии хорошо известны как производители вторичных метаболитов, чем порождают фармакологический и коммерческий интерес. В 1940 году Зельман Ваксман обнаружил, что бактерии, живущие в почве, вырабатывают актиномицин. После этого были открыты сотни других антибиотиков натурального происхождения, вырабатываемых этими микроорганизмами.<br/>","mini_actinomycetota_bacter","show_actinomycetota_bacter"
"Ацетобактер","Род бактерий из семейства Acetobacteraceae класса альфа-протеобактерий, характеризующийся...","Научная классификация<br/>   Домен:        Бактерии<br/>   Тип:        Протеобактерии<br/>   Класс:        Альфа-протеобактерии<br/>   Порядок:        Rhodospirillales<br/>   Семейство:        Acetobacteraceae<br/>   Род:        Ацетобактер<br/>   Международное научное название<br/>   Биологическое описание<br/>   Клетки от эллипсоидных до палочковидных, прямые или слегка изогнутые, размером 0,6—0,8 × 1,0—4,0 мкм, одиночные, в парах или цепочках. У некоторых штаммов часто присутствуют инволюционные формы, которые могут быть сферическими, удлиненными, раздутыми, булавовидными, изогнутыми или нитевидными. Клетки подвижные или неподвижные; у подвижных жгутики петрихиальные или латеральные. Эндоспор не образуют. По Граму окрашиваются отрицательно (в редких случаях вариабельно). Облигатные аэробы метаболизм дыхательного типа, никогда не бродильного. Колонии бледные, большинство штаммов пигменты не продуцирует. Для небольшого числа штаммов характерно образование водорастворимых пигментов или розовая окраска колоний за счёт порфиринов. Желатин не разжижают, индол и H2S не образуют. Наилучшими источниками углерода для роста служат этанол, глицерол и лактат. Образуют кислоту из н-пропанола, н-бутанола и D-глюкозы. Лактозу и крахмал не гидролизуют. Хемоорганотрофы. Оптимальная температура +25…+30 °C. Оптимальный диапазон pH 5,4—6,3.<br/>   <br/>   Виды Acetobacter встречаются на цветах, фруктах, медоносных пчёлах, в Саке, спиртовом напитке из сока агавы, южно-африканском пиве банту, кефире, пивных дрожжах, уксусе, буковых стружках из чанов-окислителей и чанах-окислителях, используемых в производстве уксуса, соке сахарного тростника, «чайном грибе», растительных дубильных растворах, «нате», садовой почве и воде каналов. Некоторые представители рода Acetobacter могут вызывать розовую болезнь плодов ананасов и гниль яблок и груш. Бактерии, относящихся к одному из видов, — микроаэрофилы и азотфиксаторы; они присутствуют на корнях и стеблях сахарного тростника.<br/>","mini_acetobacter_bacter","show_acetobacter_bacter"
"Ацинетобактеры","Род грамотрицательных бактерий из семейства Moraxellaceae...","Научная классификация<br/>   Домен:        Бактерии<br/>   Тип:        Протеобактерии<br/>   Класс:        Гамма-протеобактерии<br/>   Порядок:        Pseudomonadales<br/>   Семейство:        Moraxellaceae<br/>   Род:        Ацинетобактеры<br/>   Обычно очень короткие и округлые, размеры бактерий в логарифмической фазе роста составляют 1,0—1,5 × 1,5—2,5 мкм. В стационарной фазе роста они приобретают преимущественно форму кокков, располагающихся парами или в виде коротких цепочек. Большие непостоянной формы клетки и нити обнаруживаются в небольшом количестве во всех культурах, а иногда и преобладают. Спор не образуют, жгутиков не имеют, однако некоторые штаммы на плотной питательной поверхности демонстрируют «дергающуюся» подвижность. Капсулы и фимбрии могут быть, но могут и отсутствовать.<br/>   <br/>   Ацинетобактеры являются хемоорганотрофами с окислительным метаболизмом. Способность использовать органические соединения в качестве источников энергии и углерода непостоянна. Ацетоин, индол, сероводород, оксидазу не образуют, каталазопозитивны. Строгие аэробы, оптимальная температура для роста 30—32 °С, pH около 7,0. Обычно резистентны к пенициллину.<br/>   <br/>   Acinetobacter являются свободно живущими сапрофитами, распространены повсеместно. Могут быть причиной многих инфекционных процессов, включая менингиты и септицемии у людей и септицемии и аборты у животных.<br/>   <br/>   В феврале 2017 года ВОЗ причислила ацинетобактеров к наиболее опасным бактериям в связи с их резистентностью к существующим антибактериальным препаратам.<br/>","mini_acinetobacter_bacter","show_acinetobacter_bacter"
"Бактероиды","Род грамотрицательных анаэробных палочковидных бактерий семейства Bacteroidaceae...","Научная классификация<br/>   Домен:        Бактерии<br/>   Тип:        Bacteroidetes<br/>   Класс:        Bacteroidia<br/>   Порядок:        Bacteroidales<br/>   Семейство:        Bacteroidaceae<br/>   Род:        Бактероиды<br/>   Биологические свойства<br/>   Хемоорганогетеротрофы, облигатные анаэробы (в литературе имеется информация, что Bacteroides fragilis способен расти при низких концентрациях кислорода (до 500 нМ)). Основными продуктами брожения являются уксусная кислота, изовалериановая кислота, янтарная кислота. Основным источником энергии являются полисахариды. Способны восстанавливать холестерин, гидролизовать мукополисахарид хондроитинсульфаты. Не образуют индол, синтезируют каталазу, гидролизуют эскулин, сбраживают различные углеводы. Грамотрицательные, палочковидные неподвижные бактерии, не образуют спор, имеют полисахаридную капсулу, состоящую из двух полисахаридов.<br/>   <br/>   Геномы изученных видов представлены кольцевыми двуцепочечными молекулами ДНК, процент % Г+Ц пар составляет 40—48 %, обнаружен транспозон, переносимый при конъюгации, также обнаружена возможность переноса генетической информации между Escherichia coli и Bacteroides fragilis и так называемые «челночные» плазмиды для осуществления такого переноса.<br/>   Патогенность<br/>   Некоторые бактероиды способны вызывать так называемые анаэробные инфекции. Представители родов Bacteroides, Prevotella, и Porphyromonas объединены в единый патокомплекс, представители этих родов способны вызывать хронический синусит, хроническое воспаление среднего уха, инфекции ротовой полости, различные абсцессы и некротическую пневмонию, токсигенные Bacteroides fragilis ассоциированны с воспалительной диареей. Bacteroides fragilis вырабатывает энтеротоксин, стимулирующий дегенерацию эпителиоцитов кишечника человека и разрезание Е-кадгерина. Побочные продукты метаболизма представителей рода Bacteroides ингибирует функцию полиморфноядерных лейкоцитов человека. Также известны данные об антибиотикорезистентности Bacteroides fragilis.<br/>","mini_bacteroides_bacter","show_bacteroides_bacter"
"Бифидобактерии","Род грамположительных анаэробных бактерий, представляющих собой...","Научная классификация<br/>   Домен:        Бактерии<br/>   Тип:        Актиномицеты<br/>   Класс:        Актиномицеты<br/>   Порядок:        Bifidobacteriales<br/>   Семейство:        Bifidobacteriaceae<br/>   Род:        Бифидобактерии<br/>   Биологические свойства<br/>   Для роста бифидобактерий необходимы пара-аминобензойная кислота (ПАБК) и пантотеновая кислота. Дифференциально-диагностическая среда Блаурока.<br/>   <br/>   Количество микробов в норме — 109—1010 КОЕ/гр.<br/>   <br/>   Бифидобактерии составляют 80—90 % кишечной флоры детей, находящихся на грудном вскармливании, и молодняка млекопитающих в подсосном периоде. Присутствие бифидобактерий в кишечнике полезно для ребёнка и молодых животных, так как бифидобактерии подавляют развитие различных гнилостных и болезнетворных микроорганизмов, способствуют перевариванию углеводов. По окончании молочного вскармливания бифидофлора сменяется обычной кишечной микрофлорой, характерной для взрослых организмов.<br/>   <br/>   Функции бифидобактерий в организме человека:<br/>   <br/>   осуществляют путём ассоциации со слизистой оболочкой кишечника физиологическую защиту кишечного барьера от проникновения микробов и токсинов во внутреннюю среду организма;<br/>   обладают высокой антагонистической активностью по отношению к патогенным и условно патогенным микроорганизмам за счет выработки органических жирных кислот;<br/>   участвуют в утилизации пищевых субстратов и активизации пристеночного пищеварения;<br/>   синтезируют аминокислоты и белки, витамин К, витамины группы В: B1 — тиамин, B2 — рибофлавин, B5 — пантотеновую кислоту, B3 — никотиновую кислоту, B6 — пиридоксин, В9 — фолиевую кислоту;<br/>   способствуют усилению процессов всасывания через стенки кишечника ионов кальция, железа, витамина D.<br/>","mini_bifidobacterium_bacter","show_bifidobacterium_bacter"
"Боррелии","Род бактерий семейства Spirochaetaceae порядка спирохет. Представители рода являются возбудителями таких…","Морфология Представители рода имеют удлинённую форму: их длина составляет от 11 до 25 мкм, ширина — от 0,18 до 0,25 мкм. Их размеры могут изменяться в организме разных хозяев, а также при культивировании. Боррелии похожи на скрученные пружинки; покрыты ресничками[3]. Грамотрицательные. Окрашиваются анилиновыми красителями, по Романовскому-Гимзе красятся в сине-фиолетовый цвет. При неблагоприятных условиях существуют «формы несбалансированного роста» - клетки «с выростами», удлиненные цилиндрические клетки, нитевидные структуры, петлеобразные формы, сферопласты, шаровидные и гранулярные формы и цисты, которые сохраняют способность к размножению, а при благоприятных условиях возвращаются в обычные спиральные формы, вызывая при этом патологический эффект. \n Боррелии испытывают недостаток ферментов, необходимых для цикла трикарбоновых кислот и фосфорилирования. Они не обладают способностью синтезировать аминокислоты, жирные кислоты и нуклеотиды. Для построения клеточной стенки им необходим N-ацетилглюкозоамин.\n Для выращивания боррелий обычно используют жидкие среды, обогащенные аминокислотами, питательными веществами и витаминами. Эти бактерии относятся к числу микроаэрофилов (требуют кислород в пониженных концентрациях по сравнению с содержанием его в воздухе или в тканях организма хозяина), что обязательно учитывается при культивировании. При оптимальной температуре 32-34 градуса время генерации составляет 8 – 24 ч. Нормальный розоватый цвет среды при росте боррелий меняется на желтый.\n Антигенное строение \n Белковый (антигенный) спектр боррелий довольно разнообразен и включает более 30 белков. Он отличается не только у боррелий разных геновидов, но может быть не вполне сходен и у изолятов одного геновида. Вместе с тем, независимо от геновидной принадлежности все боррелии группы B. burgdorferi sensu lato имеют 2 главных белковых компонента: P41 или флагеллин и HSP60. Отдельные участки флагеллина специфичны для определенных видов боррелий.\n Боррелии имеют поверхностные жгутиковые и цитоплазматические антигены. К настоящему времени охарактеризованы 6 вариабельных поверхностных белков (Osp A-F). Многие из белков (P22, P35, P66, P83/100, Bmp, Mlp, RevA и EppA) имеют существенное значение как детерминанты вирулентности.\n Болезни, вызываемые боррелиями\n Из 54 известных видов 40 видов боррелий вызывают у человека различные заболевания: боррелиозы, болезнь Лайма, возвратный тиф.\n Основными переносчиками боррелий являются:\n иксодовые клещи из рода Ixodes, в том числе Ixodes persulcatus , Ixodes ricinus[4] и Ixodes scapularis[5]), аргасовые клещи (Ornitodorus papillares (поселковый клещ) и Argas persicus (персидский клещ);\n человеческая и лобковая вошь.\n Болезнь Лайма\n Основная статья: Болезнь Лайма\n В развитии болезни Лайма основным этиологическим фактором служат представители видов Borrelia burgdorferi, Borrelia afzelii, Borrelia garinii и Borrelia valaisiana.\n Переносится болезнь Лайма преимущественно клещами рода Ixodes. Имеются данные, что на территории России переносчиками боррелий являются от 30 до 40 % клещей рода Ixodes[5]. Боррелии попадают в кожу человека вместе со слюной присосавшегося иксодового клеща. Передвигаются в тканях человека и могут проникать во многие типы клеток, в том числе в клетки, которые уже содержат другие патогены (например, вирус клещевого энцефалита или риккетсии). Боррелии вызывают воспалительные процессы в различных внутренних органах человека (артриты суставов, парезы мышц), при этом внешние проявления наличия боррелий в организме могут сильно различаться у разных больных. Механизм воспаления обычно является вполне типичным для данного органа; в силу этого наличие боррелий в организме человека достоверно может быть определено только путём анализа крови[3].\n Диагностируются[6][7]:\n ДНК борреллий в крови, сыворотке крови, ликворе или моче методом ПЦР в реальном времени;\n антитела (иммуноглобулины) в крови, сыворотке крови, биоптатах кожи, спинномозговой жидкости методом ИФА или ИХЛА.\n Возвратный тиф\n Основная статья: Возвратный тиф\n Боррелии возвратного тифа часто сопровождается бактериемией[8]. Borrelia recurrentis проникает в человеческое тело посредством укуса зараженным насекомым, заражение которого произошло в ходе питания кровью больного человека. Размножение бактериального агента происходит в кишечнике вши.\n Лабораторный анализ — иммунофлюоресцентное обследование или серодиагностика возбудителя в крови пациента.","mini_borrelia_bacter","show_borrelia_bacter"
"Вибрионы","Род бактерий семейства Vibrionaceae, включает более 40 видов. Прямые или изогнутые палочки...","По Граму представители рода окрашиваются отрицательно. Среди представителей рода наиболее распространены факультативные анаэробы. В медицинской литературе описано, что возникновению и распространению вибрионов на водных объектах способствует содержание азота более 1 мг на 1 л воды, а закисление вод обратимо ведёт к гибели микроорганизмов.","mini_vibrion_bacter","show_vibrion_bacter"
"Вольбахии","Род грамотрицательных плеоморфных бактерий из семейства Ehrlichiaceae класса...","Научная классификация<br/>   Домен:        Бактерии<br/>   Тип:        Протеобактерии<br/>   Класс:        Альфа-протеобактерии<br/>   Порядок:        Rickettsiales<br/>   Семейство:        Ehrlichiaceae<br/>   Род:        Вольбахии<br/>   Биологические свойства<br/>   Вольбахии обладают грамотрицательным морфотипом, то есть окружены двумя билипидными мембранами и потому не окрашиваются по Граму. Для вольбахий описано три крайних типа формы клетки: малые палочки (0,5—1,3 мкм в длину), коккоиды (0,25—1 мкм) и крупные палочки (1—1,8 мкм в диаметре). Размножаются внутри клеток членистоногих и нематод. На питательных средах не культивируются, однако культивирование на клеточных линиях насекомых оказалось успешным.<br/>   Патогенность<br/>   Бактериями рода Wolbachia инфицировано по некоторым оценкам около 20 % всех видов насекомых, а также многие виды других групп членистоногих и филярий. Основные эффекты, индуцируемые вольбахиями:<br/>   <br/>   Андроцид — дегенерация эмбрионов мужского пола некоторых жуков, бабочек и мух.<br/>   Партеногенез — изменение хода развития яиц у некоторых наездников, приводящее к появлению в потомстве исключительно самок. Механизм действия таких линий вольбахий основан на остановке первого митотического деления гаплоидной (то есть неоплодотворённой) зиготы после метафазы. В результате происходит удвоение хромосом и формируется женский диплоидный эмбрион, а не мужской гаплоидный.<br/>   Феминизация — процесс превращения самцов некоторых чешуекрылых и мокриц в самок путём ингибирования развития андрогенной железы и выработки андрогена, а также подавления действия андрогена на клетки-мишени. Помимо этого у бактерии есть и вторая феминизирующая особенность: после искусственной пересадки вольбахий самцы-реципиенты приобретают фенотип интерсексов, что связано с действием бактерий на уже развитую андрогенную железу.<br/>   Цитоплазматическая несовместимость— проявляется в быстрой дегенерации эмбрионов, полученных путём оплодотворения яйцеклеток инфицированным самцом. Цитоплазматическая несовместимость является самым распространённым эффектом, вызываемым вольбахией, и бывает односторонней и двусторонней. Односторонняя наблюдается при скрещивании заражённых самцов и незаражённых самок — происходит полное или частичное разрушение мужского хромосомного набора после оплодотворения. Двусторонняя несовместимость наблюдается, если самка и самец инфицированы различными штаммами вольбахии, при этом наблюдается почти полная репродуктивная изоляция. Однако если самка заражена тем же самым штаммом вольбахии, что и самец, отцовские хромосомы не разрушаются, и из яйца развивается нормальная заражённая особь.<br/>","mini_wolbachia_bacter","show_wolbachia_bacter"
"Золоти́стый стафилококк","Вид шаровидных грамположительных бактерий из рода стафилококков. Приблизительно...","   Золоти́стый стафилоко́кк (лат. Staphylococcus aureus) — вид шаровидных грамположительных бактерий из рода стафилококков, анаэробная. Приблизительно 25—40 % населения являются постоянными носителями этой бактерии, которая может сохраняться на кожных покровах и слизистых оболочках верхних дыхательных путей.<br/>   <br/>   S. aureus может вызывать широкий диапазон заболеваний, начиная с лёгких кожных инфекций: угри, импетиго (может быть вызван также и Streptococcus pyogenes), фурункул, флегмона, карбункул, стафилококковый ожогоподобный кожный синдром и абсцесс — до смертельно опасных заболеваний: пневмония, менингит, остеомиелит, эндокардит, инфекционно-токсический шок и сепсис. Диапазон заболеваний простирается от кожных, мягких тканей, костных, суставных и эндоваскулярных до раневых инфекций. Он до сих пор является одной из четырёх наиболее частых причин внутрибольничных инфекций, часто вызывая послеоперационные раневые инфекции. Впервые обнаружен в 1880 году в шотландском городе Абердине Александром Огстоном в гное из хирургических абсцессов. Впервые описан в 1884 году Оттомаром Розенбахом. Розенбах идентифицировал золотистый стафилококк, выделив и отделив его от родственной бактерии Staphylococcus albus.<br/>   <br/>   В 1899 году харьковский врач Павел Лащенков, исследуя причины массового отравления тортом местных гимназисток, открыл опаснейшие для человека свойства золотистого стафилококка — способность быстро размножаться при температурах свыше 37°С, подавляя при этом бесцветный S. albus.<br/>   <br/>   В начале 1930-х годов врачи начали использовать тест для обнаружения инфекции S. aureus с помощью теста на коагулазу — фермент, продуцируемый бактерией. До 1940-х годов инфекции, вызванные S. aureus, были смертельными для большинства пациентов. Однако врачи обнаружили, что использование пенициллина может вылечить инфекции S. aureus. К концу 1940-х годов устойчивость к пенициллину стала широко распространенной среди этой популяции бактерий, и начали происходить вспышки резистентного штамма.<br/>   <br/>   Описание<br/>   Название бактерия получила благодаря своему внешнему виду под микроскопом: в отличие от большинства бактерий, которые бесцветны, Staphylococcus aureus имеет золотистый цвет, обусловленный пигментами из группы каротиноидов.<br/>   <br/>   S. aureus — бактерия-комменсал; она колонизирует кожу и поверхности слизистых (носа, глотки и влагалища). Простое наличие микроорганизма на слизистых носа или на коже иногда вызывает ответ организма (акне, аллергическую реакцию)<br/>   <br/>   Патогенные свойства<br/>   Золотистый стафилококк является возбудителем многих инфекций и заболеваний. Возглавляет список бактерий, которыми наиболее часто заражаются в медицинских учреждениях, в США регистрируется более ста тысяч случаев инфицирования стафилококком в год, многие со смертельным исходом.<br/>   <br/>   Токсины<br/>   Стафилококковые токсины – это белки, которые разрушительно действуют на мембраны клеток мишеней, включают альфа-токсин, бета-токсин, дельта-токсин и несколько двухкомпонентных токсинов. Штаммы S. aureus могут содержать также фаги, такие как профаг Φ-PVL, который продуцирует лейкоцидин Пантона-Валентайна (PVL), для увеличения вирулентности. Двухкомпонентный токсин PVL связан с тяжелой некротической пневмонией у детей. Эксфолиативные стафилококковые токсины - это экзотоксины, обладающие протеазной активностью и вызывающие стафилококковый синдром ошпаренной кожи (SSSS), который чаще всего встречается у младенцев и маленьких детей. Это может приводить к эпидемиям в яслях и больницах. Протеазная активность эксфолиативных токсинов вызывает шелушение кожи, наблюдаемое при SSSS. А α-стафилотоксин образует ионные каналы как в мембранах живых клеток - эритроцитах, лейкоцитах, так и в искусственных бислойных липидных мембранах.<br/>","mini_stapau_bacter","show_stapau_bacter"
